symbol,interval,fast_ma,slow_ma,lookback,quantity,fee_rate,initial_capital,trade_index,side,entry_time,entry_price,exit_time,exit_price,gross_pnl,net_pnl,fee,bars_held
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,1,LONG,1787260440000,72638.90000000,1787262480000,72697.10000000,0.58200000,0.00065600,0.58134400,34
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,2,SHORT,1787262480000,72697.10000000,1787264580000,72705.40000000,-0.08300000,-0.66461000,0.58161000,35
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,3,LONG,1787264580000,72705.40000000,1787265780000,72692.60000000,-0.12800000,-0.70959200,0.58159200,20
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,4,SHORT,1787265780000,72692.60000000,1787266440000,72803.70000000,-1.11100000,-1.69298520,0.58198520,11
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,5,LONG,1787266440000,72803.70000000,1787266860000,72640.10000000,-1.63600000,-2.21777520,0.58177520,7
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,6,SHORT,1787266860000,72640.10000000,1787267280000,72749.90000000,-1.09800000,-1.67956000,0.58156000,7
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,7,LONG,1787267280000,72749.90000000,1787269320000,73091.50000000,3.41600000,2.83263440,0.58336560,34
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,8,SHORT,1787269320000,73091.50000000,1787270700000,73063.70000000,0.27800000,-0.30662080,0.58462080,23
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,9,LONG,1787270700000,73063.70000000,1787272800000,73618.00000000,5.54300000,4.95627320,0.58672680,35
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,10,SHORT,1787272800000,73618.00000000,1787273580000,73793.00000000,-1.75000000,-2.33964400,0.58964400,13
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,11,LONG,1787273580000,73793.00000000,1787274060000,73663.00000000,-1.30000000,-1.88982400,0.58982400,8
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,12,SHORT,1787274060000,73663.00000000,1787274120000,73735.90000000,-0.72900000,-1.31859560,0.58959560,1
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,13,LONG,1787274120000,73735.90000000,1787277840000,74912.10000000,11.76200000,11.16740800,0.59459200,62
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,14,SHORT,1787277840000,74912.10000000,1787279460000,74965.00000000,-0.52900000,-1.12850840,0.59950840,27
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,15,LONG,1787279460000,74965.00000000,1787279940000,74742.80000000,-2.22200000,-2.82083120,0.59883120,8
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,16,SHORT,1787279940000,74742.80000000,1787282100000,74419.90000000,3.22900000,2.63234920,0.59665080,36
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,17,LONG,1787282100000,74419.90000000,1787283660000,74517.90000000,0.98000000,0.38424880,0.59575120,26
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,18,SHORT,1787283660000,74517.90000000,1787283840000,74612.90000000,-0.95000000,-1.54652320,0.59652320,3
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,19,LONG,1787283840000,74612.90000000,1787284800000,74482.90000000,-1.30000000,-1.89638320,0.59638320,16
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,20,SHORT,1787284800000,74482.90000000,1787285220000,74694.80000000,-2.11900000,-2.71571080,0.59671080,7
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,21,LONG,1787285220000,74694.80000000,1787286660000,74754.80000000,0.60000000,0.00220160,0.59779840,24
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,22,SHORT,1787286660000,74754.80000000,1787286780000,74925.80000000,-1.71000000,-2.30872240,0.59872240,2
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,23,LONG,1787286780000,74925.80000000,1787290200000,75166.30000000,2.40500000,1.80463160,0.60036840,57
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,24,SHORT,1787290200000,75166.30000000,1787290980000,75246.80000000,-0.80500000,-1.40665240,0.60165240,13
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,25,LONG,1787290980000,75246.80000000,1787292840000,75267.10000000,0.20300000,-0.39905560,0.60205560,31
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,26,SHORT,1787292840000,75267.10000000,1787293860000,75372.20000000,-1.05100000,-1.65355720,0.60255720,17
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,27,LONG,1787293860000,75372.20000000,1787294820000,75275.20000000,-0.97000000,-1.57258960,0.60258960,16
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,28,SHORT,1787294820000,75275.20000000,1787295480000,75570.70000000,-2.95500000,-3.55838360,0.60338360,11
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,29,LONG,1787295480000,75570.70000000,1787298000000,76506.50000000,9.35800000,8.74969120,0.60830880,42
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,30,SHORT,1787298000000,76506.50000000,1787298060000,76533.30000000,-0.26800000,-0.88015920,0.61215920,1
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,31,LONG,1787298060000,76533.30000000,1787298780000,76322.00000000,-2.11300000,-2.72442120,0.61142120,12
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,32,SHORT,1787298780000,76322.00000000,1787299560000,76561.50000000,-2.39500000,-3.00653400,0.61153400,13
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,33,LONG,1787299560000,76561.50000000,1787303220000,77716.80000000,11.55300000,10.93588680,0.61711320,61
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,34,SHORT,1787303220000,77716.80000000,1787304840000,77862.30000000,-1.45500000,-2.07731640,0.62231640,27
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,35,LONG,1787304840000,77862.30000000,1787306280000,77701.00000000,-1.61300000,-2.23525320,0.62225320,24
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,36,SHORT,1787306280000,77701.00000000,1787307300000,78031.10000000,-3.30100000,-3.92392840,0.62292840,17
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,37,LONG,1787307300000,78031.10000000,1787308140000,77843.20000000,-1.87900000,-2.50249720,0.62349720,14
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,38,SHORT,1787308140000,77843.20000000,1787309220000,77957.00000000,-1.13800000,-1.76120080,0.62320080,18
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,39,LONG,1787309220000,77957.00000000,1787309700000,77814.10000000,-1.42900000,-2.05208440,0.62308440,8
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,40,SHORT,1787309700000,77814.10000000,1787309820000,77844.20000000,-0.30100000,-0.92363320,0.62263320,2
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,41,LONG,1787309820000,77844.20000000,1787310120000,77720.10000000,-1.24100000,-1.86325720,0.62225720,5
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,42,SHORT,1787310120000,77720.10000000,1787313360000,76956.40000000,7.63700000,7.01829400,0.61870600,54
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,43,LONG,1787313360000,76956.40000000,1787313660000,76659.80000000,-2.96600000,-3.58046480,0.61446480,5
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,44,SHORT,1787313660000,76659.80000000,1787314200000,76804.20000000,-1.44400000,-2.05785600,0.61385600,9
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,45,LONG,1787314200000,76804.20000000,1787315040000,76680.20000000,-1.24000000,-1.85393760,0.61393760,14
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,46,SHORT,1787315040000,76680.20000000,1787315880000,76985.10000000,-3.04900000,-3.66366120,0.61466120,14
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,47,LONG,1787315880000,76985.10000000,1787317140000,77176.40000000,1.91300000,1.29635400,0.61664600,21
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,48,SHORT,1787317140000,77176.40000000,1787317800000,77243.00000000,-0.66600000,-1.28367760,0.61767760,11
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,49,LONG,1787317800000,77243.00000000,1787317980000,77136.80000000,-1.06200000,-1.67951920,0.61751920,3
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,50,SHORT,1787317980000,77136.80000000,1787319780000,77289.90000000,-1.53100000,-2.14870680,0.61770680,30
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,51,LONG,1787319780000,77289.90000000,1787320920000,77070.10000000,-2.19800000,-2.81544000,0.61744000,19
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,52,SHORT,1787320920000,77070.10000000,1787322420000,77079.40000000,-0.09300000,-0.70959800,0.61659800,25
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,53,LONG,1787322420000,77079.40000000,1787323440000,77131.30000000,0.51900000,-0.09784280,0.61684280,17
